datetime,day_ahead_price,imbalance_price,load_actual,load_forecast
2025-11-17 00:00:00+01:00,90.51,452.92,14700.0,15124.229
2025-11-17 00:15:00+01:00,92.36,442.48,14550.0,14889.97
2025-11-17 00:30:00+01:00,91.6,455.47,14450.0,14785.548
2025-11-17 00:45:00+01:00,94.86,429.76,14350.0,14628.176
2025-11-17 01:00:00+01:00,99.26,502.04,14300.0,14598.93
2025-11-17 01:15:00+01:00,99.42,511.26,14250.0,14410.849
2025-11-17 01:30:00+01:00,99.38,477.86,14200.0,14279.41
2025-11-17 01:45:00+01:00,99.06,483.38,14150.0,14236.441
2025-11-17 02:00:00+01:00,99.44,505.0,14100.0,14213.151
2025-11-17 02:15:00+01:00,99.49,493.34,14100.0,14149.461
2025-11-17 02:30:00+01:00,99.52,460.42,14100.0,14113.804
2025-11-17 02:45:00+01:00,99.68,-14.86,14100.0,14070.648
2025-11-17 03:00:00+01:00,99.35,419.99,14100.0,14238.991
2025-11-17 03:15:00+01:00,96.62,408.45,14100.0,14293.734
2025-11-17 03:30:00+01:00,98.59,416.78,14200.0,14237.891
2025-11-17 03:45:00+01:00,99.63,421.18,14350.0,14353.204
2025-11-17 04:00:00+01:00,100.21,423.63,14500.0,14572.722
2025-11-17 04:15:00+01:00,100.32,463.0,14800.0,14532.552
2025-11-17 04:30:00+01:00,102.57,469.13,14950.0,14931.952
2025-11-17 04:45:00+01:00,104.45,464.82,15200.0,15149.931
2025-11-17 05:00:00+01:00,106.52,450.3,15600.0,15556.304
2025-11-17 05:15:00+01:00,104.44,504.22,16000.0,15898.402
2025-11-17 05:30:00+01:00,91.03,464.82,16600.0,16353.012
2025-11-17 05:45:00+01:00,100.95,469.14,17450.0,17224.83
2025-11-17 06:00:00+01:00,96.72,569.36,18800.0,18728.962
2025-11-17 06:15:00+01:00,106.82,559.52,19350.0,19409.045
2025-11-17 06:30:00+01:00,131.28,560.76,19900.0,19944.334
2025-11-17 06:45:00+01:00,120.83,612.27,20450.0,20222.405
2025-11-17 07:00:00+01:00,112.04,622.83,20950.0,21032.158
2025-11-17 07:15:00+01:00,117.35,622.83,21350.0,21263.73
2025-11-17 07:30:00+01:00,128.45,623.52,21650.0,21482.916
2025-11-17 07:45:00+01:00,120.65,621.25,21850.0,21810.277
2025-11-17 08:00:00+01:00,151.52,640.54,22250.0,22131.777
2025-11-17 08:15:00+01:00,132.03,633.54,22550.0,22532.974
2025-11-17 08:30:00+01:00,129.83,661.03,22650.0,22382.946
2025-11-17 08:45:00+01:00,126.06,674.64,22750.0,22599.757
2025-11-17 09:00:00+01:00,151.87,691.39,22750.0,22886.491
2025-11-17 09:15:00+01:00,130.6,760.62,22750.0,22933.632
2025-11-17 09:30:00+01:00,127.74,638.65,22750.0,23023.817
2025-11-17 09:45:00+01:00,124.8,624.83,22600.0,22747.366
2025-11-17 10:00:00+01:00,126.42,616.99,22450.0,22729.386
2025-11-17 10:15:00+01:00,126.18,592.58,22600.0,22817.541
2025-11-17 10:30:00+01:00,149.6,632.42,22700.0,23318.797
2025-11-17 10:45:00+01:00,157.86,667.34,22900.0,23301.072
2025-11-17 11:00:00+01:00,121.1,619.58,23050.0,23386.885
2025-11-17 11:15:00+01:00,130.32,618.71,23100.0,23767.243
2025-11-17 11:30:00+01:00,129.04,618.41,23150.0,23669.975
2025-11-17 11:45:00+01:00,140.6,618.59,23200.0,23599.824
2025-11-17 12:00:00+01:00,153.86,650.82,23200.0,23771.935
2025-11-17 12:15:00+01:00,156.53,980.87,23250.0,23743.186
2025-11-17 12:30:00+01:00,157.72,866.28,23300.0,23795.176
2025-11-17 12:45:00+01:00,158.94,809.61,23300.0,23823.652
2025-11-17 13:00:00+01:00,162.46,857.37,23500.0,23925.939
2025-11-17 13:15:00+01:00,165.22,851.09,23500.0,23833.2
2025-11-17 13:30:00+01:00,158.54,822.21,23300.0,23628.326
2025-11-17 13:45:00+01:00,161.78,744.82,22700.0,23036.439
2025-11-17 14:00:00+01:00,142.98,649.98,23000.0,23126.761
2025-11-17 14:15:00+01:00,164.61,711.05,23050.0,23532.487
2025-11-17 14:30:00+01:00,175.46,741.74,23100.0,23447.264
2025-11-17 14:45:00+01:00,166.47,703.74,22900.0,23213.212
2025-11-17 15:00:00+01:00,140.29,638.86,22900.0,23238.273
2025-11-17 15:15:00+01:00,133.08,636.15,22950.0,23253.41
2025-11-17 15:30:00+01:00,138.62,691.22,22950.0,23434.976
2025-11-17 15:45:00+01:00,143.34,749.49,23200.0,23301.905
2025-11-17 16:00:00+01:00,121.98,750.01,23350.0,23594.951
2025-11-17 16:15:00+01:00,123.4,712.7,23600.0,23712.001
2025-11-17 16:30:00+01:00,135.32,708.52,23600.0,23807.31
2025-11-17 16:45:00+01:00,143.64,675.4,23600.0,23736.747
2025-11-17 17:00:00+01:00,115.34,706.88,23600.0,23575.519
2025-11-17 17:15:00+01:00,119.02,608.48,23500.0,23393.691
2025-11-17 17:30:00+01:00,118.33,609.94,23400.0,23226.274
2025-11-17 17:45:00+01:00,119.44,579.77,23100.0,23069.842
2025-11-17 18:00:00+01:00,120.05,580.11,22950.0,22837.83
2025-11-17 18:15:00+01:00,114.32,483.28,23000.0,22636.08
2025-11-17 18:30:00+01:00,115.85,488.92,22900.0,22789.077
2025-11-17 18:45:00+01:00,116.1,356.4,22900.0,22770.521
2025-11-17 19:00:00+01:00,114.59,405.3,22900.0,22760.449
2025-11-17 19:15:00+01:00,112.22,428.53,22850.0,22822.96
2025-11-17 19:30:00+01:00,108.72,356.76,22800.0,22370.555
2025-11-17 19:45:00+01:00,107.3,336.26,22700.0,22575.436
2025-11-17 20:00:00+01:00,107.98,320.15,22550.0,22498.889
2025-11-17 20:15:00+01:00,107.3,330.74,22300.0,22209.182
2025-11-17 20:30:00+01:00,104.35,291.18,22050.0,22156.577
2025-11-17 20:45:00+01:00,92.42,316.88,21800.0,21718.832
